"","Basal","Her2","LumA","LumB","MeanDecreaseAccuracy","MeanDecreaseGini"
"PTGES3",0.498525195839006,0.341063491042119,2.54767155057483,2.56691811252811,3.49393966951449,13.2797009584027
"ELOVL5",15.7192584927744,0.184528580137657,9.91850449656694,-0.151484701748707,14.7701175310852,111.306809873684
"ACAA1",0.410844593071515,-0.197396388609821,2.3190160573501,0.442979503233744,2.17007909738498,9.05888617455371
"ADIPOR1",1.32911491602234,-0.46331816177074,0.215201706153362,1.75979720032074,1.65124886440992,8.02037608743951
"HSD17B12",1.82826462575707,-0.436508444359123,1.18558554538013,1.30256995561233,2.4082931540609,11.6902720232338
"PLD2",1.07493450525568,0.440135301811314,1.15233870360653,2.19544966707046,2.45751828128147,11.9515795165914
"AKR1B1",0.284628305495333,0.179574083871508,1.34210229629411,1.63029824592137,1.85880017415129,8.30257181660396
"FASN",7.18856004724338,1.70082090151851,1.99049178695604,-0.0142793120274778,7.46726802429763,21.3052729740825
"ACAD8",1.91846901319672,0.864386962220882,1.45295247877826,-0.646578799657241,2.01307153319428,8.74082462229782
"MBOAT7",1.16579961780429,0.918815323395761,0.963946166526117,-0.308799702878135,1.36584333364567,8.03912717935317
"PLAA",1.02533469907102,-0.376873225772563,3.989414034837,0.176323330988364,3.85440810711847,12.6099118527024
"ACOT7",0.644515252171467,-0.0266647183983826,3.2703363898077,1.86358319575478,3.31168863756649,21.8830657561357
"CYP39A1",1.76200210097969,0.102681649817694,1.88371953329567,1.32333877602441,2.79909444936115,11.9019244166607
"MGLL",1.98416874152978,-0.178592288376242,1.71581220015792,0.47900876692474,2.48902452134771,11.2250447435005
"FABP6",-0.0416015465606847,3.50169441402788,2.27742679307399,0.377626684141265,3.33796284186991,14.1082931995527
"PLD1",0.727610884289188,-0.329788661057613,1.03647220738653,1.16617297957244,1.57249965744905,6.81219196378387
"HPGDS",1.54862062674811,-0.142359191239418,1.59344586143857,-0.261199077105115,1.7323826187463,7.48654493824721
"PLA2G2D",0.124260895292547,1.56731512263185,2.68020381110397,-0.156112310838138,2.66665112460693,9.36071211496229
"PLCL1",2.45995519750327,1.10661579315727,1.82842139841331,-0.569795115526919,2.75635273652595,8.96428992140033
"ACOT8",1.38684076144456,1.56656268318445,1.61174831421551,0.233565289818572,2.54904940705766,8.54294877515115
"PLA2G4A",2.00301297789702,0.0440332103959147,1.31930372646384,1.46914333026897,2.58214369719154,9.48164198504562
"CYP4F11",2.14619240697351,0.30960317469189,0.510426450580822,0.356521723199441,2.25351563066091,7.2048906080195
"FPR2",0.189593410590014,0.100194156664178,1.97049081080587,-0.0249379792995753,1.51643091842481,8.50194285741296
"CYP2B6",3.0613568310108,2.53175788201304,1.09920425956026,0.172200567058856,3.51110762917485,11.4122044853192
"ACOT13",0.373950286318855,0.240171593990944,2.20119749825468,-0.00458564518577631,2.0145728739166,6.65068880200622
"PLA2G12A",1.10387904087949,0.817572819458617,0.859779424235262,0.902193876884697,1.89758659537602,6.36847612552538
"PLCG2",4.52553986680354,-0.166577191568692,2.30183120487762,1.50230122594432,5.06975790057671,19.9658434548516
"PTGER3",2.47442939856395,2.88984081885065,4.10493655272133,-0.425061859445665,4.46675102112086,20.4970929364079
"ACOT9",4.57503297174732,1.02438548974312,4.02149388434652,1.49882165002879,5.5762192524761,24.3163783899164
"CYP1B1",0.627374546509778,0.597731574340321,1.96244115868569,2.33520628025737,3.02159368932889,15.5214694382683
"PLCH1",2.35486915213808,0.0185425175931072,3.29384108908236,0.225937212879782,3.50372448606332,14.3640796854106
"CYP7B1",2.25632251942366,0.231335624698667,1.3430320488099,0.921597400825158,2.48509041308303,9.27026947901232
"PLCB4",0.995338783586127,0.727754107809624,1.5888215839432,1.92260735814104,2.7868594071734,13.3493359209269
"FABP5",4.24813498926846,0.380923131371026,2.64535889331423,0.162456824001301,4.89458723826772,17.824219401212
"PLA2G7",3.22253708290696,1.17117048639931,6.28196893917799,-0.303652205891781,6.28085272209586,33.3960164381218
"FAAH",11.4357447975647,0.539939159383195,5.31970014631091,2.06632166652046,11.121270265834,79.9350113825472
"CYP4F8",5.5978809835465,0.566865897824557,-0.450857825147717,0.00224556980589435,5.37175915582436,11.1129776429196
"ALOX15B",3.98573593870959,1.180660534478,0.542719722534012,0.124232009278648,3.78621496575129,10.893842006393
"ELOVL2",5.43447478755171,3.98996164759357,2.64623224101339,3.25805819420515,7.15058413932128,29.4837847484957
"EPHX2",1.75799309628089,0.254616072620967,2.93325277424002,-0.58504329725966,2.98381112407194,11.8225090684484
"FADS2",1.66953018364258,1.21955333593122,2.78948864541355,-0.257235480619155,2.90321801473667,17.3719000584978
"CBR1",1.62540794765747,0.0673746767193966,1.7306274789161,-0.530305233573912,1.8939320400463,7.91127431000683
"LPCAT3",1.00993485276235,0.272019911881693,1.49232463315365,-0.337784598277642,1.54057339001896,7.29893887955148
"FABP4",2.03595654785429,0.702008954647683,3.13513893459429,-0.245778015456542,3.25002951557077,16.6425486691158
"LTC4S",1.34086181367631,0.130080351340599,0.687738368165649,0.0999581179522426,1.42682767023704,5.7095889108165
"FABP7",5.49816063243465,0.432755791967204,2.97900322382171,7.1550825498653,7.22514156159616,49.9420367187224
